model,gene,variable,statistic,estimate,pval,FDR,hgnc_symbol
lme,ENSG00000005810,Treatment,seeContrasts,seeContrasts,2.4903723641329468e-12,2.3907274107581645e-11,MYCBP2
lme,ENSG00000005810,median_cv_coverage,seeContrasts,seeContrasts,0.011770515214843935,0.030414812463047832,MYCBP2
lme,ENSG00000005812,Treatment,seeContrasts,seeContrasts,5.574023456408101e-5,1.955579865925974e-4,FBXL3
lme,ENSG00000005812,median_cv_coverage,seeContrasts,seeContrasts,4.583955133063856e-6,2.712685055864835e-5,FBXL3
lme,ENSG00000005844,Treatment,seeContrasts,seeContrasts,0.024661979887243782,0.04796406823161595,ITGAL
lme,ENSG00000005844,median_cv_coverage,seeContrasts,seeContrasts,0.15391642186759089,0.26312181866176987,ITGAL
lme,ENSG00000005882,Treatment,seeContrasts,seeContrasts,1.7662028687679272e-7,9.181368965193274e-7,PDK2
lme,ENSG00000005882,median_cv_coverage,seeContrasts,seeContrasts,2.3260677207140465e-6,1.460748489277471e-5,PDK2
lme,ENSG00000005884,Treatment,seeContrasts,seeContrasts,7.664897977455422e-7,3.63631172464609e-6,ITGA3
lme,ENSG00000005884,median_cv_coverage,seeContrasts,seeContrasts,0.009798531392497097,0.025950437489110804,ITGA3
lme,ENSG00000005889,Treatment,seeContrasts,seeContrasts,0.31940418583106067,0.4127010302993,ZFX
lme,ENSG00000005889,median_cv_coverage,seeContrasts,seeContrasts,0.03241102940586501,0.07276813616924414,ZFX
lme,ENSG00000005893,Treatment,seeContrasts,seeContrasts,0.04066945915960034,0.07387565226124958,LAMP2
lme,ENSG00000005893,median_cv_coverage,seeContrasts,seeContrasts,2.91704791327403e-14,7.891408359940475e-13,LAMP2
lme,ENSG00000005961,Treatment,seeContrasts,seeContrasts,0.43206424703862367,0.5238062245512671,ITGA2B
lme,ENSG00000005961,median_cv_coverage,seeContrasts,seeContrasts,0.14587860561247423,0.2517893857940134,ITGA2B
lme,ENSG00000005981,Treatment,seeContrasts,seeContrasts,0.6525651179765277,0.7222404816583453,ASB4
lme,ENSG00000005981,median_cv_coverage,seeContrasts,seeContrasts,0.597753782743817,0.717674497856887,ASB4
lme,ENSG00000006007,Treatment,seeContrasts,seeContrasts,1.6893563035343874e-11,1.472470724401178e-10,GDE1
lme,ENSG00000006007,median_cv_coverage,seeContrasts,seeContrasts,0.37265083315901915,0.5166251353547602,GDE1
lme,ENSG00000006015,Treatment,seeContrasts,seeContrasts,5.433947537558665e-7,2.6392501464127482e-6,REX1BD
lme,ENSG00000006015,median_cv_coverage,seeContrasts,seeContrasts,2.9161096364464737e-6,1.7965358631663075e-5,REX1BD
lme,ENSG00000006016,Treatment,seeContrasts,seeContrasts,3.523430563742653e-13,3.719124749665187e-12,CRLF1
lme,ENSG00000006016,median_cv_coverage,seeContrasts,seeContrasts,0.45782608585934037,0.5989012785990565,CRLF1
lme,ENSG00000006025,Treatment,seeContrasts,seeContrasts,0.25874472136509163,0.3474465881102915,OSBPL7
lme,ENSG00000006025,median_cv_coverage,seeContrasts,seeContrasts,0.0504997663150159,0.10579478240128512,OSBPL7
