model,gene,variable,df,statistic,contrast_ref,contrast_lvl,estimate,pval,FDR,std.error,hgnc_symbol
lme.contrast,module_19,Treatment,33.133719966141456,-1.69202388914782,(None + RV16),(IFNb + RV16),0.0330343827454062,0.10002679604064993,0.14337174099159825,0.019523591219532805,NA
lme.contrast,module_19,Treatment,32.56956100412424,-1.81270429733049,(CXCL10 + RV16),(IFNb + RV16),0.0350117247073257,0.07910425130180036,0.13082626176836212,0.019314636567523004,NA
lme.contrast,module_20,Treatment,33.76159170891313,8.36335648687062,(None + None),(None + RV16),-0.237615447036696,9.702382016130727e-10,9.412904282341089e-9,0.02841149332922983,NA
lme.contrast,module_20,Treatment,33.018806029993584,7.46033810149237,(None + None),(CXCL10 + RV16),-0.208433706604519,1.4128668264745665e-8,5.523024867127851e-8,0.02793890890318014,NA
lme.contrast,module_20,Treatment,32.273856965635616,5.23133933802968,(None + None),(IFNb + RV16),-0.143790224948415,9.904236779333947e-6,3.0420155822239982e-5,0.027486311947519604,NA
lme.contrast,module_20,Treatment,32.28343929164106,-1.06146255536729,(None + RV16),(CXCL10 + RV16),0.0291817404321765,0.29635631000898677,0.9343293502360811,0.027492011173280508,NA
lme.contrast,module_20,Treatment,33.042888358027284,-3.35642937862321,(None + RV16),(IFNb + RV16),0.0938252220882811,0.0019975084487380344,0.008589286329573547,0.02795387940704052,NA
lme.contrast,module_20,Treatment,32.50298620348823,-2.34016816437497,(CXCL10 + RV16),(IFNb + RV16),0.0646434816561046,0.02557032477100194,0.05497619825765417,0.02762343434980027,NA
lme.contrast,module_21,Treatment,33.778347008786525,5.6929040450908,(None + None),(None + RV16),-0.140945006703476,2.2060523070841657e-6,4.517154724029482e-6,0.024758015520219168,NA
lme.contrast,module_21,Treatment,33.03015480249514,5.30688318934027,(None + None),(CXCL10 + RV16),-0.12922508632511,7.439740962552213e-6,1.4541311881352053e-5,0.02435046744286355,NA
lme.contrast,module_21,Treatment,32.280227270099985,1.33441440758788,(None + None),(IFNb + RV16),-0.0319728691614544,0.19140536217252108,0.24207148745348253,0.023960224784480018,NA
lme.contrast,module_21,Treatment,32.289870649315404,-0.489040379586654,(None + RV16),(CXCL10 + RV16),0.0117199203783662,0.6281185936380459,0.9343293502360811,0.023965138396694632,NA
lme.contrast,module_21,Treatment,33.054405710129416,-4.47278467261427,(None + RV16),(IFNb + RV16),0.108972137542022,8.615350012880064e-5,0.0012348668351794758,0.024363376625132643,NA
lme.contrast,module_21,Treatment,32.51083806754185,-4.03897356556516,(CXCL10 + RV16),(IFNb + RV16),0.0972522171636557,3.0724291709394153e-4,0.004213417965724405,0.024078448542667653,NA
lme.contrast,module_22,Treatment,33.96760012134695,8.09920888828249,(None + None),(None + RV16),-0.390658889042334,1.930362478288171e-9,1.1857940938055909e-8,0.048234203418005245,NA
lme.contrast,module_22,Treatment,33.17489077774843,7.99281838273131,(None + None),(CXCL10 + RV16),-0.380288617376824,3.0853156790681956e-9,2.368647403004695e-8,0.04757878875346995,NA
lme.contrast,module_22,Treatment,32.388044993380205,5.50505277063455,(None + None),(IFNb + RV16),-0.258478921903804,4.400902005733492e-6,1.5769898853878346e-5,0.04695303254541008,NA
lme.contrast,module_22,Treatment,32.39811316275299,-0.220827787301091,(None + RV16),(CXCL10 + RV16),0.0103702716655097,0.8266123295229255,0.9343293502360811,0.04696090013060828,NA
lme.contrast,module_22,Treatment,33.20046571539597,-2.77691808816853,(None + RV16),(IFNb + RV16),0.13217996713853,0.008952848550709725,0.021387360426695454,0.04759951966235596,NA
lme.contrast,module_22,Treatment,32.629172613472036,-2.5838664351571,(CXCL10 + RV16),(IFNb + RV16),0.12180969547302,0.014442031637356115,0.0414004906937542,0.04714241178089923,NA
lme.contrast,module_23,Treatment,33.832896717672035,-13.0504772322148,(None + None),(None + RV16),0.297361797963279,9.246041643834514e-15,1.9878989534244205e-13,0.022785511416337275,NA
lme.contrast,module_23,Treatment,33.068075491978604,-13.1257839635567,(None + None),(CXCL10 + RV16),0.29433889446735,1.1525827007108641e-14,2.478052806528358e-13,0.02242448110410566,NA
lme.contrast,module_23,Treatment,32.303091614424886,-10.9046945472001,(None + None),(IFNb + RV16),0.240764729445406,2.320287237740686e-12,4.988617561142475e-11,0.022078998031836113,NA
lme.contrast,module_23,Treatment,32.312917861533066,0.136886113147887,(None + RV16),(CXCL10 + RV16),-0.00302290349592915,0.8919701678766454,0.9343293502360811,0.022083346706347932,NA
lme.contrast,module_23,Treatment,33.09284090428676,2.52261040976756,(None + RV16),(IFNb + RV16),-0.0565970685178731,0.016636024507847093,0.03110213277554022,0.022435913329592595,NA
lme.contrast,module_23,Treatment,32.538153291720754,2.41503052456633,(CXCL10 + RV16),(IFNb + RV16),-0.053574165021944,0.02152094669801599,0.05141115044526042,0.0221836388720446,NA
lme.contrast,module_24,Treatment,33.654557502590684,-2.51618917671461,(None + None),(None + RV16),0.0649940967822705,0.016802326160011247,0.020642857853728103,0.025830369744747613,NA
lme.contrast,module_24,Treatment,32.94863820148821,-2.20496199140997,(None + None),(CXCL10 + RV16),0.0559526217105697,0.03454661108799647,0.042442979336681376,0.025375776058067408,NA
lme.contrast,module_24,Treatment,32.238281206396316,-2.05517852200061,(None + None),(IFNb + RV16),0.0512561095232568,0.048038419684604976,0.06523077916320374,0.02493997916704655,NA
lme.contrast,module_24,Treatment,32.24743479998557,0.362449584445439,(None + RV16),(CXCL10 + RV16),-0.00904147507170083,0.7193808011221434,0.9343293502360811,0.024945469548639736,NA
lme.contrast,module_24,Treatment,32.97156100126051,0.541074751472243,(None + RV16),(IFNb + RV16),-0.0137379872590138,0.5920933062478997,0.6890338463467156,0.025390183558987475,NA
lme.contrast,module_24,Treatment,32.457040408311954,0.187320573929899,(CXCL10 + RV16),(IFNb + RV16),-0.00469651218731295,0.8525753885809431,0.9165185427245137,0.02507205742958343,NA
lme.contrast,module_25,Treatment,33.97403020473941,3.70072420157705,(None + None),(None + RV16),-0.0554830784945958,7.57142862493212e-4,0.0011627551102574326,0.014992492137336775,NA
lme.contrast,module_25,Treatment,33.181158858193655,2.84532903962608,(None + None),(CXCL10 + RV16),-0.0420862469984688,0.0075470685715027415,0.010468514470148965,0.01479134624233111,NA
lme.contrast,module_25,Treatment,32.39461066759421,-0.744107973871736,(None + None),(IFNb + RV16),0.0108634821943451,0.4621749011663232,0.5371221824365378,0.014599335816575515,NA
lme.contrast,module_25,Treatment,32.40467214054693,-0.917481242539385,(None + RV16),(CXCL10 + RV16),0.013396831496127,0.3656690419699623,0.9343293502360811,0.014601749741550634,NA
lme.contrast,module_25,Treatment,33.20673179733282,-4.48357007235272,(None + RV16),(IFNb + RV16),0.0663465606889409,8.281085816046564e-5,0.0012348668351794758,0.014797707991240578,NA
lme.contrast,module_25,Treatment,32.635598482328504,-3.61248078314493,(CXCL10 + RV16),(IFNb + RV16),0.0529497291928139,0.0010063860829034618,0.006182085937835552,0.014657442453359497,NA
lme.contrast,module_26,Treatment,33.79971717279109,6.97101967442671,(None + None),(None + RV16),-0.171556936393457,5.021322704279881e-8,1.7993073023669576e-7,0.02461002039957177,NA
lme.contrast,module_26,Treatment,33.044817255448194,6.58393271739989,(None + None),(CXCL10 + RV16),-0.159400842356506,1.7370192177366908e-7,5.175855642276742e-7,0.024210581911817585,NA
lme.contrast,module_26,Treatment,32.28876310877708,7.300485004323,(None + None),(IFNb + RV16),-0.1739573756365,2.539745532599486e-8,2.184181158035558e-7,0.02382819436427735,NA
lme.contrast,module_26,Treatment,32.29848127403953,-0.510052855196481,(None + RV16),(CXCL10 + RV16),0.0121560940369516,0.6134825101836083,0.9343293502360811,0.023833008507067013,NA
lme.contrast,module_26,Treatment,33.06927653416834,0.0990965683818006,(None + RV16),(IFNb + RV16),-0.00240043924304306,0.9216598823697553,0.9436041652833208,0.024223232774263345,NA
lme.contrast,module_26,Treatment,32.52119131740573,0.607940015143716,(CXCL10 + RV16),(IFNb + RV16),-0.0145565332799946,0.5474496755729523,0.6662555215733829,0.023944028880141206,NA
lme.contrast,module_27,Treatment,34.0109675505698,-5.94099427890467,(None + None),(None + RV16),0.28873205195335,1.0260822056449245e-6,2.2060767421365875e-6,0.04859995455282329,NA
